	sentence	type	point
0	Áo bao đẹp ạ!!	POS	5
1	Tuyệt vời !	POS	5
2	2day ao khong giong trong.	NEG	1
3	Mùi thơm,bôi lên da mềm da.	POS	5
4	Vải đẹp, dày dặn.	POS	5
5	Hàng rất đẹp, rất chi là ưng ý.	POS	5
6	Chất lượng sản phẩm tốt, date dài.	POS	5
7	Ăn nói và thái độ phục vụ tốt.	POS	4
8	Đóng gói sản phẩm chắc chắn.	POS	5
9	tất sờn hết ca chưa dùng mà vay r.	NEG	2
10	Shop phục vụ rất tốt.	POS	5
11	Mặc thì cũng đc.	NEU	3
12	Chất vải khỏi chê.	POS	5
13	Thời gian giao hàng rất nhanh.	POS	5
14	Chất lượng sản phẩm tuyệt vời.	POS	4
15	vải hơi thô cứng Thời gian giao hàng nhanh.	POS	5
16	Chất lượng sp chưa thật sự đẹp nhe shop!	POS	4
17	Rất đáng tiền Thời gian giao hàng rất nhanh.	POS	5
18	Quần rất đẹp mặc vừa vặn.	POS	5
19	Cảm giác mua hàng bị hớ thật tệ!	NEG	2
20	Khi mua về nên đi sửa lại.	NEG	2
21	Với giá này thì sản phẩm tạm ổn chưa đc gọi là đẹp lắm.	NEU	3
22	Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời.	POS	5
23	Giá cả chấp nhận được.	POS	4
24	Nchung là rất ổn ❤️.	POS	5
25	Áo quá đẹp luôn nếu không muốn nói là đẹp, may quá có áo mới đi làm cty mới, shop còn mẫu nào trắng nữa để mình mua.	POS	5
26	Chưa mặc nhưng thấy chất dày dặn, nhìn chung là hài lòng.	POS	5
27	😊chất vải đã ok mà hình thì siu ciu luôn í.shop rất nhiệt tình...chịu🤗.	POS	5
28	Giao hàng nhanh.	POS	5
29	Thấy khá okz thanks shop.	POS	4
30	Chất lượng sản phẩm tuyệt vời,sẽ ủng hộ shop nhiều.	POS	5
31	Chất lượng sản phẩm tạm được, vải hơi khô và mỏng.	POS	4
32	Hàng hoá lừa đảo.	NEG	1
33	Thời gian giao hàng nhanh.	POS	4
34	Ảnh in đẹp.	POS	5
35	Giá lại rẻ.	POS	5
36	Quần áo super đẹp.	POS	4
37	Giao hàng thiếu, nt cho shop đã xem mà K có phản hồi gì.	NEG	1
38	Thank shop!	POS	5
39	Tuyệt vời hơn khi mua trên shopee thì được freeship.	POS	5
40	Tiếc là ko đặt thêm mấy chiếc.	POS	5
41	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.	POS	5
42	Đồng hồ mua về k sử dụg đc.	NEG	1
43	Chất mềm mịn mát.	POS	5
44	Giao thiếu 1b 80k , mà im re.	NEG	1
45	Sản phr rất ưng ý.	POS	5
46	Chất lượng sản phẩm tuyệt vời.	POS	5
47	mua lần 2 rồi <3.	POS	5
48	Ngực em cuzng bitnhf thường thôi, mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực.	NEG	1
49	Quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1 .	POS	5
50	99k cũng đáng mua.	POS	5
51	Quần đẹp, vừa form .	POS	5
52	Giao hàng nhanh.	POS	5
